date,conversation_id,satisfaction_score,trust_score,confusion_score,sentiment_compound,engagement_time_sec
2024-04-06,104,0.502,0.49,0.356,-0.013,135.464
2024-04-07,118,0.509,0.49,0.385,0.046,148.559
2024-04-08,109,0.499,0.496,0.4,-0.027,143.358
2024-04-09,95,0.499,0.504,0.346,0.007,136.784
2024-04-10,108,0.526,0.522,0.379,0.057,159.187
2024-04-11,86,0.477,0.519,0.377,-0.066,163.671
2024-04-12,110,0.464,0.474,0.351,-0.086,129.51
2024-04-13,119,0.504,0.528,0.378,-0.014,160.842
2024-04-14,81,0.548,0.52,0.37,0.062,148.692
2024-04-15,107,0.483,0.487,0.406,0.01,167.668
2024-04-16,117,0.494,0.482,0.37,-0.042,157.122
2024-04-17,116,0.52,0.52,0.356,0.026,154.205
2024-04-18,105,0.486,0.477,0.383,-0.084,150.191
2024-04-19,103,0.488,0.483,0.389,0.022,158.189
2024-04-20,111,0.512,0.513,0.392,0.013,163.167
2024-04-21,88,0.469,0.462,0.377,-0.022,151.251
2024-04-22,101,0.505,0.495,0.363,0.03,141.519
2024-04-23,98,0.499,0.501,0.36,0.036,141.881
2024-04-24,80,0.464,0.463,0.394,-0.038,149.224
2024-04-25,118,0.502,0.485,0.35,-0.017,149.492
2024-04-26,103,0.496,0.488,0.356,0.034,151.631
2024-04-27,106,0.477,0.478,0.345,-0.049,150.806
2024-04-28,96,0.476,0.465,0.348,-0.082,143.411
2024-04-29,102,0.493,0.502,0.332,0.076,158.327
2024-04-30,101,0.512,0.524,0.394,0.02,140.035
2024-05-01,110,0.483,0.478,0.367,-0.013,143.073
2024-05-02,108,0.536,0.526,0.375,0.032,162.159
2024-05-03,117,0.517,0.509,0.366,0.029,138.417
2024-05-04,99,0.512,0.507,0.364,-0.007,144.702
2024-05-05,117,0.482,0.483,0.383,0.003,149.681
2024-05-06,120,0.493,0.49,0.363,0.001,154.022
2024-05-07,110,0.524,0.522,0.356,0.016,146.593
2024-05-08,100,0.492,0.512,0.359,-0.0,132.264
2024-05-09,121,0.495,0.487,0.372,-0.04,147.71
2024-05-10,103,0.498,0.511,0.397,0.003,137.439
2024-05-11,102,0.49,0.486,0.362,0.026,150.778
2024-05-12,121,0.47,0.47,0.387,-0.075,150.181
2024-05-13,104,0.52,0.514,0.393,0.041,166.39
2024-05-14,95,0.529,0.527,0.357,0.052,149.281
2024-05-15,104,0.496,0.487,0.359,-0.007,144.17
2024-05-16,86,0.45,0.474,0.403,-0.096,133.083
2024-05-17,103,0.49,0.516,0.378,0.003,144.071
2024-05-18,118,0.496,0.509,0.409,0.04,161.376
2024-05-19,108,0.503,0.498,0.395,0.006,143.373
2024-05-20,99,0.507,0.523,0.376,-0.009,141.156
2024-05-21,111,0.482,0.476,0.377,-0.024,141.421
2024-05-22,81,0.557,0.538,0.336,0.057,160.942
2024-05-23,91,0.494,0.505,0.356,0.065,150.409
2024-05-24,107,0.476,0.466,0.367,-0.039,146.246
2024-05-25,92,0.492,0.49,0.353,0.02,148.704
2024-05-26,91,0.497,0.517,0.383,-0.023,181.031
2024-05-27,107,0.48,0.483,0.39,-0.01,139.663
2024-05-28,108,0.481,0.468,0.383,-0.045,153.091
2024-05-29,110,0.481,0.493,0.356,-0.03,133.234
2024-05-30,103,0.515,0.516,0.384,-0.036,163.061
2024-05-31,105,0.474,0.465,0.361,-0.061,153.295
2024-06-01,124,0.5,0.508,0.345,0.036,137.972
2024-06-02,107,0.499,0.491,0.375,-0.025,145.211
2024-06-03,119,0.481,0.48,0.353,-0.042,155.468
2024-06-04,116,0.477,0.481,0.42,-0.023,151.252
2024-06-05,88,0.491,0.504,0.372,0.053,154.565
2024-06-06,100,0.472,0.492,0.345,0.004,162.959
2024-06-07,91,0.503,0.519,0.38,-0.053,162.561
2024-06-08,116,0.513,0.527,0.363,-0.003,146.744
2024-06-09,111,0.505,0.483,0.377,0.014,163.205
2024-06-10,99,0.494,0.481,0.404,0.01,158.338
2024-06-11,109,0.493,0.487,0.383,-0.038,150.013
2024-06-12,107,0.504,0.502,0.383,0.014,142.855
2024-06-13,117,0.46,0.472,0.372,-0.057,144.302
2024-06-14,97,0.507,0.495,0.349,0.003,145.09
2024-06-15,105,0.496,0.515,0.378,0.039,132.187
2024-06-16,140,0.489,0.479,0.386,-0.04,132.833
2024-06-17,105,0.519,0.507,0.366,0.042,143.134
2024-06-18,102,0.503,0.521,0.356,0.042,155.485
2024-06-19,100,0.509,0.488,0.386,0.037,146.811
2024-06-20,94,0.487,0.472,0.395,-0.049,143.179
2024-06-21,96,0.5,0.501,0.367,-0.032,148.985
2024-06-22,134,0.484,0.487,0.38,0.014,138.551
2024-06-23,91,0.501,0.496,0.368,0.018,159.012
2024-06-24,103,0.475,0.476,0.39,-0.092,158.516
2024-06-25,110,0.491,0.494,0.378,-0.062,173.079
2024-06-26,104,0.486,0.488,0.399,-0.103,164.688
2024-06-27,97,0.48,0.477,0.385,0.001,147.521
2024-06-28,93,0.512,0.534,0.369,0.016,137.653
2024-06-29,107,0.478,0.481,0.371,-0.016,146.958
2024-06-30,96,0.517,0.514,0.361,0.003,152.194
2024-07-01,108,0.46,0.481,0.383,-0.061,139.647
2024-07-02,99,0.516,0.533,0.355,0.06,148.673
2024-07-03,98,0.509,0.519,0.37,-0.028,162.46
2024-07-04,103,0.53,0.525,0.38,0.016,152.232
2024-07-05,106,0.529,0.506,0.354,0.026,139.082
2024-07-06,101,0.52,0.5,0.391,0.049,133.177
2024-07-07,112,0.477,0.476,0.353,-0.03,164.183
2024-07-08,82,0.475,0.473,0.382,-0.014,144.188
2024-07-09,103,0.501,0.503,0.391,0.018,133.791
2024-07-10,106,0.499,0.493,0.38,-0.068,157.982
2024-07-11,111,0.509,0.501,0.372,0.032,140.864
2024-07-12,100,0.528,0.534,0.384,0.082,149.737
2024-07-13,106,0.483,0.481,0.353,-0.04,131.892
2024-07-14,98,0.484,0.5,0.378,-0.012,152.533
2024-07-15,117,0.504,0.501,0.366,-0.012,168.103
2024-07-16,81,0.503,0.497,0.362,-0.049,163.161
2024-07-17,105,0.487,0.474,0.358,-0.093,144.305
2024-07-18,104,0.514,0.496,0.344,0.017,160.095
2024-07-19,98,0.527,0.524,0.389,0.033,154.066
2024-07-20,109,0.525,0.54,0.362,-0.006,141.423
2024-07-21,114,0.512,0.497,0.402,0.064,169.432
2024-07-22,94,0.497,0.491,0.374,0.058,137.279
2024-07-23,90,0.518,0.537,0.385,0.007,145.986
2024-07-24,107,0.499,0.504,0.364,0.032,147.818
2024-07-25,107,0.463,0.462,0.375,-0.113,132.882
2024-07-26,99,0.511,0.507,0.344,0.03,145.345
2024-07-27,117,0.532,0.537,0.364,0.063,150.831
2024-07-28,93,0.506,0.518,0.347,-0.011,162.376
2024-07-29,119,0.507,0.497,0.394,0.016,167.592
2024-07-30,89,0.485,0.497,0.372,0.006,146.313
2024-07-31,104,0.48,0.492,0.368,-0.036,148.535
2024-08-01,100,0.5,0.488,0.344,0.011,140.857
2024-08-02,112,0.505,0.507,0.361,0.02,157.143
2024-08-03,97,0.506,0.535,0.365,0.014,143.88
2024-08-04,96,0.522,0.532,0.397,0.019,158.4
2024-08-05,103,0.506,0.496,0.363,-0.005,153.773
2024-08-06,126,0.481,0.501,0.371,-0.0,155.863
2024-08-07,106,0.494,0.487,0.419,0.02,142.292
2024-08-08,107,0.483,0.469,0.373,-0.004,151.59
2024-08-09,100,0.482,0.502,0.368,-0.015,154.082
2024-08-10,111,0.465,0.471,0.34,-0.069,147.211
2024-08-11,91,0.491,0.471,0.378,-0.091,135.458
2024-08-12,98,0.491,0.494,0.364,0.026,146.746
2024-08-13,104,0.51,0.495,0.37,-0.014,164.295
2024-08-14,99,0.516,0.511,0.366,-0.008,158.5
2024-08-15,117,0.449,0.444,0.365,-0.093,135.999
2024-08-16,100,0.487,0.478,0.378,0.054,144.11
2024-08-17,116,0.504,0.5,0.399,-0.018,157.295
2024-08-18,104,0.496,0.512,0.42,0.011,123.07
2024-08-19,116,0.516,0.51,0.35,-0.014,153.647
2024-08-20,105,0.511,0.511,0.384,0.011,139.674
2024-08-21,117,0.494,0.507,0.376,0.004,149.552
2024-08-22,104,0.486,0.496,0.37,-0.025,131.631
2024-08-23,95,0.487,0.492,0.414,-0.022,114.601
2024-08-24,87,0.52,0.53,0.356,0.005,154.035
2024-08-25,99,0.515,0.523,0.388,0.021,138.67
2024-08-26,105,0.5,0.481,0.383,-0.001,131.679
2024-08-27,104,0.501,0.513,0.379,0.002,150.836
2024-08-28,80,0.537,0.523,0.355,0.043,151.043
2024-08-29,97,0.526,0.516,0.388,-0.01,128.635
2024-08-30,101,0.519,0.488,0.375,0.027,149.146
2024-08-31,110,0.514,0.522,0.348,-0.0,140.205
2024-09-01,87,0.503,0.527,0.384,0.026,168.256
2024-09-02,102,0.519,0.498,0.401,-0.034,156.242
2024-09-03,86,0.468,0.47,0.373,-0.059,138.075
2024-09-04,100,0.469,0.451,0.397,-0.108,131.002
2024-09-05,98,0.502,0.515,0.385,0.031,157.153
2024-09-06,127,0.509,0.526,0.412,-0.031,131.824
2024-09-07,102,0.5,0.478,0.367,-0.028,143.586
2024-09-08,115,0.52,0.547,0.361,0.089,160.395
2024-09-09,118,0.474,0.492,0.413,-0.011,137.337
2024-09-10,99,0.522,0.494,0.369,0.001,148.076
2024-09-11,101,0.507,0.495,0.381,-0.002,152.982
2024-09-12,99,0.508,0.468,0.353,0.06,153.114
2024-09-13,103,0.493,0.472,0.342,-0.037,148.823
2024-09-14,112,0.467,0.457,0.384,-0.102,162.188
2024-09-15,125,0.505,0.499,0.363,0.008,160.901
2024-09-16,97,0.529,0.53,0.378,0.052,153.373
2024-09-17,80,0.488,0.507,0.366,0.028,143.394
2024-09-18,119,0.521,0.533,0.374,0.037,149.342
2024-09-19,93,0.521,0.515,0.352,0.001,153.5
2024-09-20,83,0.512,0.498,0.341,0.002,128.715
2024-09-21,100,0.504,0.496,0.372,-0.017,157.597
2024-09-22,114,0.504,0.503,0.384,0.017,155.178
2024-09-23,83,0.52,0.522,0.393,0.1,153.75
2024-09-24,116,0.489,0.496,0.397,-0.0,141.082
2024-09-25,107,0.49,0.509,0.367,-0.012,169.694
2024-09-26,108,0.503,0.498,0.354,0.077,156.353
2024-09-27,102,0.466,0.479,0.386,-0.021,153.094
2024-09-28,97,0.503,0.515,0.363,0.007,169.512
2024-09-29,121,0.52,0.531,0.365,0.025,132.801
2024-09-30,97,0.51,0.51,0.396,-0.001,164.273
2024-10-01,122,0.499,0.487,0.371,0.01,149.952
2024-10-02,106,0.472,0.469,0.396,-0.048,140.967
2024-10-03,96,0.48,0.483,0.385,-0.137,136.944
2024-10-04,136,0.52,0.529,0.387,-0.002,131.321
2024-10-05,94,0.503,0.489,0.372,-0.002,143.009
2024-10-06,111,0.496,0.489,0.329,-0.022,135.701
2024-10-07,116,0.487,0.464,0.357,-0.063,165.203
2024-10-08,112,0.541,0.531,0.391,0.084,150.827
2024-10-09,109,0.465,0.469,0.379,-0.061,159.129
2024-10-10,130,0.504,0.503,0.377,-0.062,143.153
2024-10-11,109,0.47,0.493,0.374,-0.027,155.776
2024-10-12,104,0.471,0.469,0.372,-0.131,164.988
2024-10-13,95,0.508,0.512,0.379,0.013,146.179
2024-10-14,126,0.497,0.504,0.354,-0.038,155.194
2024-10-15,111,0.511,0.524,0.39,0.045,150.691
2024-10-16,97,0.481,0.495,0.404,-0.021,168.452
2024-10-17,85,0.511,0.533,0.366,0.054,156.117
2024-10-18,108,0.56,0.548,0.391,0.114,155.973
2024-10-19,110,0.475,0.494,0.374,-0.006,139.572
2024-10-20,105,0.491,0.499,0.369,0.0,152.87
2024-10-21,109,0.477,0.482,0.367,0.023,155.896
2024-10-22,103,0.492,0.492,0.374,0.03,138.755
2024-10-23,94,0.488,0.498,0.403,-0.049,168.268
2024-10-24,90,0.541,0.526,0.357,0.094,136.657
2024-10-25,105,0.486,0.472,0.38,-0.052,142.012
2024-10-26,91,0.487,0.488,0.387,-0.004,132.944
2024-10-27,107,0.481,0.522,0.366,0.039,146.852
2024-10-28,101,0.472,0.492,0.365,-0.024,156.821
2024-10-29,106,0.49,0.501,0.406,0.006,137.606
2024-10-30,105,0.513,0.524,0.345,0.046,169.319
2024-10-31,88,0.503,0.495,0.381,0.025,122.147
2024-11-01,103,0.498,0.488,0.374,0.04,151.769
2024-11-02,89,0.487,0.499,0.362,-0.003,141.598
2024-11-03,116,0.454,0.46,0.355,-0.084,145.223
2024-11-04,97,0.484,0.489,0.395,-0.027,157.189
2024-11-05,112,0.488,0.498,0.362,0.009,144.0
2024-11-06,89,0.52,0.513,0.382,0.093,145.613
2024-11-07,114,0.505,0.513,0.407,-0.002,143.672
2024-11-08,94,0.538,0.523,0.361,0.027,124.213
2024-11-09,112,0.534,0.52,0.394,-0.011,145.101
2024-11-10,101,0.46,0.454,0.383,-0.118,143.153
2024-11-11,104,0.514,0.53,0.365,0.05,142.601
2024-11-12,115,0.474,0.483,0.374,-0.02,155.627
2024-11-13,99,0.49,0.482,0.366,-0.001,130.69
2024-11-14,91,0.536,0.538,0.39,0.036,150.631
2024-11-15,99,0.508,0.511,0.369,0.046,121.509
2024-11-16,97,0.509,0.494,0.362,0.005,144.695
2024-11-17,95,0.543,0.538,0.383,0.089,146.197
2024-11-18,111,0.494,0.506,0.35,-0.019,155.997
2024-11-19,86,0.479,0.487,0.349,-0.01,174.716
2024-11-20,84,0.542,0.532,0.383,0.096,169.063
2024-11-21,78,0.48,0.477,0.372,0.009,148.92
2024-11-22,112,0.539,0.545,0.395,0.057,150.161
2024-11-23,107,0.48,0.481,0.405,-0.04,156.565
2024-11-24,83,0.502,0.487,0.369,-0.017,147.863
2024-11-25,109,0.51,0.52,0.391,0.053,154.75
2024-11-26,89,0.548,0.559,0.391,0.132,153.589
2024-11-27,94,0.509,0.509,0.386,-0.038,145.148
2024-11-28,102,0.514,0.519,0.406,-0.004,144.506
2024-11-29,92,0.476,0.473,0.371,-0.049,151.464
2024-11-30,103,0.459,0.466,0.384,-0.104,152.702
2024-12-01,95,0.511,0.494,0.381,-0.071,131.228
2024-12-02,94,0.506,0.493,0.394,0.001,164.647
2024-12-03,107,0.491,0.486,0.35,-0.056,166.775
2024-12-04,103,0.501,0.504,0.379,0.004,166.927
2024-12-05,105,0.497,0.506,0.371,-0.006,149.552
2024-12-06,116,0.504,0.519,0.39,-0.043,148.792
2024-12-07,112,0.503,0.507,0.393,-0.001,150.032
2024-12-08,102,0.487,0.489,0.39,-0.031,166.044
2024-12-09,82,0.519,0.498,0.359,0.015,164.926
2024-12-10,117,0.517,0.521,0.388,0.02,135.545
2024-12-11,92,0.486,0.471,0.386,-0.091,143.395
2024-12-12,101,0.483,0.482,0.371,0.009,155.71
2024-12-13,108,0.481,0.473,0.372,-0.018,144.735
2024-12-14,89,0.494,0.497,0.375,-0.041,149.044
2024-12-15,128,0.513,0.502,0.33,0.02,144.882
2024-12-16,110,0.497,0.509,0.374,0.033,161.092
2024-12-17,85,0.474,0.516,0.357,0.004,130.672
2024-12-18,100,0.477,0.497,0.375,-0.028,159.726
2024-12-19,109,0.501,0.5,0.395,-0.031,140.849
2024-12-20,83,0.519,0.533,0.359,0.026,149.359
2024-12-21,102,0.465,0.498,0.364,-0.055,139.262
2024-12-22,83,0.479,0.49,0.391,-0.067,133.933
2024-12-23,107,0.522,0.517,0.369,0.024,166.903
2024-12-24,100,0.495,0.489,0.391,-0.019,151.487
2024-12-25,103,0.5,0.498,0.382,-0.035,146.13
2024-12-26,122,0.471,0.486,0.381,-0.02,138.236
2024-12-27,113,0.51,0.514,0.352,0.034,133.511
2024-12-28,106,0.513,0.487,0.349,0.029,144.727
2024-12-29,81,0.512,0.513,0.401,-0.029,132.878
2024-12-30,101,0.519,0.483,0.391,-0.038,133.971
